abbr,name,fips,blm_acres,fs_acres,fws_acres,nps_acres,dod_acres,source
ND,North Dakota,38,58032,1103160,488648,71192,12609,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
WA,Washington,53,437342,9335431,163791,1834616,421675,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
MT,Montana,30,8022852,17186331,653097,1214193,5928,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
SD,South Dakota,46,275336,2006214,206930,148010,3515,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
ID,Idaho,16,11776995,20447859,49733,511963,3098,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
OR,Oregon,41,15742384,15697445,575379,196197,32852,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
WY,Wyoming,56,17493875,9215971,70930,2345619,11327,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
NE,Nebraska,31,5325,351205,174401,5899,10022,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
NV,Nevada,32,47298840,5760954,2345102,797613,60101,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
UT,Utah,49,22787881,8192893,110567,2097860,78420,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
CO,Colorado,08,8352437,14487064,174983,665260,420503,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
KS,Kansas,20,1,108621,29509,462,115326,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
CA,California,06,15088090,20791505,296899,7612898,1703741,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
OK,Oklahoma,40,1942,399578,108046,10011,163712,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
NM,New Mexico,35,13500023,9225354,332058,468968,1139371,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
AZ,Arizona,04,12120512,11179113,1683512,2658112,436743,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
TX,Texas,48,12188,757036,574956,1206489,680529,"CRS R42346 (2020-02-21), Table 2, FY2018; DOD FY2017"
