abbr,fips,land_area_acres,source
ND,38,44160640,"US Census 2010 land area, 69001 sq mi x 640"
WA,53,42531840,"US Census 2010 land area, 66456 sq mi x 640"
MT,30,93149440,"US Census 2010 land area, 145546 sq mi x 640"
SD,46,48519040,"US Census 2010 land area, 75811 sq mi x 640"
ID,16,52891520,"US Census 2010 land area, 82643 sq mi x 640"
OR,41,61432320,"US Census 2010 land area, 95988 sq mi x 640"
WY,56,62139520,"US Census 2010 land area, 97093 sq mi x 640"
NE,31,49167360,"US Census 2010 land area, 76824 sq mi x 640"
NV,32,70259840,"US Census 2010 land area, 109781 sq mi x 640"
UT,49,52588800,"US Census 2010 land area, 82170 sq mi x 640"
CO,08,66330880,"US Census 2010 land area, 103642 sq mi x 640"
KS,20,52325760,"US Census 2010 land area, 81759 sq mi x 640"
CA,06,99698560,"US Census 2010 land area, 155779 sq mi x 640"
OK,40,43900800,"US Census 2010 land area, 68595 sq mi x 640"
NM,35,77630720,"US Census 2010 land area, 121298 sq mi x 640"
AZ,04,72700160,"US Census 2010 land area, 113594 sq mi x 640"
TX,48,167188480,"US Census 2010 land area, 261232 sq mi x 640"
