year,voluntary,foreclosures,tax_sales,other,total,source
1913,29.9,2.5,,,,AgStat1957-T634
1914,29.6,2.8,,,,AgStat1957-T634
1915,28.0,3.3,,,,AgStat1957-T634
1916,28.3,3.5,,,,AgStat1957-T634
1917,30.9,3.8,,,,AgStat1957-T634
1918,36.7,3.7,,,,AgStat1957-T634
1919,37.0,3.1,,,,AgStat1957-T634
1920,48.8,3.2,,,,AgStat1957-T634
1921,43.4,4.0,,,,AgStat1957-T634
1922,26.3,6.6,,,,AgStat1957-T634
1923,24.4,11.7,,,,AgStat1957-T634
1924,26.1,14.6,,,,AgStat1957-T634
1925,25.5,16.7,,,,AgStat1957-T634
1926,29.6,17.4,,,,AgStat1957-T634
1927,28.3,18.2,5.1,16.9,68.5,AgStat1957-T634
1928,26.3,17.6,5.2,16.9,66.0,AgStat1957-T634
1929,23.5,14.8,4.7,15.0,58.0,AgStat1957-T634
1930,23.7,15.7,5.1,17.0,61.5,AgStat1957-T634
1931,19.0,18.7,7.4,16.8,61.9,AgStat1957-T634
1932,16.2,28.4,13.3,18.8,76.7,AgStat1957-T634
1933,16.8,38.8,15.3,22.7,93.6,AgStat1957-T634
1934,17.8,28.0,11.1,21.7,78.6,AgStat1957-T634
1935,19.4,21.0,7.3,21.4,69.1,AgStat1957-T634
1936,24.8,20.3,5.9,21.9,72.9,AgStat1957-T634
1937,31.5,18.1,4.3,20.1,74.0,AgStat1957-T634
1938,30.5,14.3,3.1,17.5,65.4,AgStat1957-T634
1939,29.9,13.4,3.5,17.1,63.8,AgStat1957-T634
1940,30.3,12.5,3.3,16.7,62.8,AgStat1957-T634
1941,34.1,10.4,3.3,15.7,63.5,AgStat1957-T634
1942,41.7,6.1,3.1,15.0,65.9,AgStat1957-T634
1943,45.8,4.3,2.2,14.5,66.8,AgStat1957-T634
1944,56.0,3.0,1.8,15.2,76.0,AgStat1957-T634
1945,51.5,1.9,1.0,15.1,69.5,AgStat1957-T634
1946,57.3,1.5,0.8,15.2,74.8,AgStat1957-T634
1947,57.6,1.1,0.7,16.2,75.6,AgStat1957-T634
1948,48.9,1.0,0.5,15.3,65.7,AgStat1957-T634
1949,40.9,1.2,0.4,14.3,56.8,AgStat1957-T634
1950,37.0,1.4,0.4,13.4,52.2,AgStat1957-T634
1951,39.4,1.5,0.3,12.8,54.0,AgStat1957-T634
1952,37.4,1.6,0.5,12.6,52.1,AgStat1957-T634
1953,34.2,1.3,0.3,11.8,47.6,AgStat1957-T634
1954,29.9,1.7,0.4,12.1,44.1,AgStat1957-T634
1955,31.9,1.9,0.4,12.4,46.6,AgStat1967-T638
1956,32.3,2.9,0.6,14.4,50.2,AgStat1967-T638
1957,31.3,2.0,0.7,13.7,47.7,AgStat1967-T638
1958,31.2,1.7,0.7,14.5,48.1,AgStat1967-T638
1959,31.3,1.6,0.4,14.9,48.2,AgStat1967-T638
1960,30.7,1.6,0.6,14.3,47.2,AgStat1967-T638
1961,28.1,1.5,0.5,14.6,44.7,AgStat1967-T638
1962,28.5,1.6,0.6,15.2,45.9,AgStat1967-T638
1963,28.5,1.2,0.4,14.7,44.8,AgStat1967-T638
1964,30.3,1.6,0.4,14.6,46.9,AgStat1967-T638
1965,28.9,1.4,0.4,14.3,45.0,AgStat1967-T638
1966,31.1,0.9,0.6,13.7,46.3,AgStat1981-T607
1967,30.9,0.8,0.2,12.6,44.5,AgStat1981-T607
1968,30.4,1.1,0.2,12.5,44.2,AgStat1981-T607
1969,30.6,1.0,0.3,12.9,44.8,AgStat1981-T607
1970,27.8,1.6,,12.0,41.4,AgStat1981-T607
1971,28.7,1.4,,12.6,42.7,AgStat1981-T607
1972,34.0,1.4,,12.5,47.9,AgStat1981-T607
1973,41.0,1.3,,13.5,55.9,AgStat1981-T607
1974,41.2,0.9,,16.2,58.3,AgStat1981-T607
1975,32.3,1.3,,14.2,47.8,AgStat1981-T607
1976,28.1,1.5,,13.1,42.7,AgStat1981-T607
1977,28.0,1.4,,13.6,43.0,AgStat1981-T607
1978,26.9,2.0,,12.8,41.7,AgStat1981-T607
1979,25.9,1.1,,12.6,39.6,AgStat1981-T607
1980,26.2,1.1,,12.7,40.0,AgStat1981-T607
1981,22.7,1.3,,12.4,36.4,AgStat1981-T607
